City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,64.99,90,25,15.93,SH,1710737363
1,ushuaia,-54.8,-68.3,35.26,80,20,19.57,AR,1710737334
2,ad dilam,23.9915,47.1627,70.21,44,100,5.82,SA,1710737363
3,steamboat springs,40.485,-106.8317,34.48,75,0,8.05,US,1710737349
4,puerto carreno,6.189,-67.4859,83.46,67,95,4.16,CO,1710737364
5,jamestown,42.097,-79.2353,32.02,89,100,9.22,US,1710737313
6,blackmans bay,-43.0167,147.3167,81.52,37,0,11.95,AU,1710737364
7,ghadamis,30.1337,9.5007,58.32,44,0,7.85,LY,1710737365
8,soe,-9.8607,124.284,75.94,84,79,4.52,ID,1710737365
9,saipan,15.1355,145.701,86.7,58,40,14.97,MP,1710737365
10,cabo san lucas,22.8909,-109.9124,68.76,76,4,6.13,MX,1710737182
11,temryuk,45.2722,37.3811,44.82,83,29,4.74,RU,1710737365
12,sosnovo-ozerskoye,52.5249,111.5418,23.23,75,100,13.91,RU,1710737366
13,uturoa,-16.7333,-151.4333,83.55,65,1,7.58,PF,1710737366
14,port-aux-francais,-49.35,70.2167,41.7,67,43,28.57,TF,1710737366
15,tiksi,71.6872,128.8694,3.97,78,11,14.29,RU,1710737366
16,constantia,44.1833,28.65,43.7,82,81,7.4,RO,1710737367
17,hun,29.1268,15.9477,51.24,89,1,6.62,LY,1710737367
18,chunskiy,56.0815,99.6342,28.67,91,100,10.38,RU,1710737367
19,codrington,-38.2667,141.9667,84.58,34,33,0.27,AU,1710737367
20,talnakh,69.4865,88.3972,9.21,92,100,0.89,RU,1710737367
21,thompson,55.7435,-97.8558,5.16,61,75,0.0,CA,1710737368
22,hawaiian paradise park,19.5933,-154.9731,72.91,85,100,10.36,US,1710737368
23,bethel,41.3712,-73.414,46.94,70,75,0.0,US,1710737280
24,bredasdorp,-34.5322,20.0403,61.86,92,100,8.3,ZA,1710737368
25,borovskoy,53.8,64.15,16.86,76,72,4.36,KZ,1710737369
26,albany,42.6001,-73.9662,38.17,74,53,5.99,US,1710737311
27,tshabong,-26.05,22.45,74.01,23,7,10.89,BW,1710737369
28,hamilton,39.1834,-84.5333,38.41,57,20,10.36,US,1710737199
29,puerto natales,-51.7236,-72.4875,33.15,93,87,4.29,CL,1710737220
30,invercargill,-46.4,168.35,55.02,78,85,10.0,NZ,1710737212
31,ilulissat,69.2167,-51.1,-3.98,77,8,2.3,GL,1710737279
